pincode,enrolment_count,state,district,biometric_update_count,biometric_rate
244001,14660.0,Uttar Pradesh,Moradabad,60266.0,411.0914051841746
202001,10972.0,Uttar Pradesh,Aligarh,48332.0,440.50309879693765
793119,10792.0,Meghalaya,South West Khasi Hills,3783.0,35.05374351371386
110059,9833.0,Delhi,West Delhi,44832.0,455.9340994609987
247001,9455.0,Uttar Pradesh,Saharanpur,48765.0,515.7588577472237
244901,9264.0,Uttar Pradesh,Rampur,33364.0,360.146804835924
250002,8983.0,Uttar Pradesh,Meerut,35102.0,390.7603250584437
431001,8274.0,Maharashtra,Aurangabad,66843.0,807.8680203045685
242001,8219.0,Uttar Pradesh,Shahjahanpur,29421.0,357.96325587054383
733207,8144.0,West Bengal,Uttar Dinajpur,8786.0,107.88310412573674
451666,8074.0,Madhya Pradesh,Barwani,39480.0,488.97696309140446
845438,7881.0,Bihar,West Champaran,17068.0,216.57150107854335
110094,7859.0,Delhi,North East Delhi,64723.0,823.5526148364931
282001,7850.0,Uttar Pradesh,Agra,24373.0,310.484076433121
121004,7843.0,Haryana,Faridabad,32142.0,409.81767180925664
209801,7768.0,Uttar Pradesh,Unnao,23789.0,306.2435633367662
421302,7463.0,Maharashtra,Thane,40615.0,544.2181428380007
201301,7332.0,Uttar Pradesh,Gautam Buddha Nagar,19176.0,261.53846153846155
843302,7010.0,Bihar,Sitamarhi,17880.0,255.0641940085592
283203,6873.0,Uttar Pradesh,Firozabad,40458.0,588.6512439982541
271855,6861.0,Uttar Pradesh,Bahraich,17046.0,248.4477481416703
476001,6548.0,Madhya Pradesh,Morena,24292.0,370.98350641417227
733202,6505.0,West Bengal,Uttar Dinajpur,8559.0,131.57571099154498
208001,6411.0,Uttar Pradesh,Kanpur Nagar,25262.0,394.0414911870223
457661,6296.0,Madhya Pradesh,Jhabua,23752.0,377.2554002541296
342001,6269.0,Rajasthan,Jodhpur,22588.0,360.31264954538204
843324,6079.0,Bihar,Sitamarhi,12977.0,213.4726106267478
241001,6047.0,Uttar Pradesh,Hardoi,22356.0,369.7039854473293
201102,5985.0,Uttar Pradesh,Ghaziabad,25613.0,427.953216374269
793150,5914.0,Meghalaya,West Jaintia Hills,3077.0,52.02908353060535
301001,5893.0,Rajasthan,Alwar,21837.0,370.5582894960122
207001,5834.0,Uttar Pradesh,Etah,23351.0,400.25711347274597
450331,5759.0,Madhya Pradesh,Burhanpur,41491.0,720.4549400937663
