region,enrol_mean,enrol_std,active_days,bio_mean,bio_std,demo_mean,demo_std,enrol_cv,bio_cv,demo_cv,high_variance
GUJARAT - SABAR KANTHA,37.734375,284.3580485092415,64,6.84375,5.847856071665976,6.890625,4.957332832231846,7.5358,0.8545,0.7194,True
GUJARAT - PANCH MAHALS,22.322580645161292,167.9004168355724,62,3.9838709677419355,3.6236560447452404,4.338709677419355,3.5155091900250692,7.5216,0.9096,0.8103,True
GUJARAT - SURENDRANAGAR,22.73015873015873,164.80782614806796,63,5.825396825396825,4.591505770791927,9.619047619047619,7.514348793343204,7.2506,0.7882,0.7812,True
UTTAR PRADESH - BARABANKI,32.857142857142854,212.44056530902913,70,46.15714285714286,91.77613527606822,48.542857142857144,31.53773250296494,6.4656,1.9883,0.6497,True
GUJARAT - BANAS KANTHA,194.8153846153846,1208.7817458642462,65,6.3076923076923075,13.748776169312166,4.8307692307692305,4.303230003327554,6.2048,2.1797,0.8908,True
RAJASTHAN - JALORE,12.666666666666666,78.44654007107519,39,0.20512820512820512,0.5221154933480352,13.564102564102564,9.538826121629299,6.1931,2.5453,0.7032,True
DELHI - NEW DELHI,22.97142857142857,136.50555771756942,70,50.05714285714286,140.79143642788992,25.885714285714286,43.72527636231317,5.9424,2.8126,1.6892,True
GUJARAT - AHMADABAD,93.74285714285715,551.7832667805038,70,181.57142857142858,420.12677767165746,76.31428571428572,52.65874354009534,5.8861,2.3138,0.69,True
BIHAR - PASHCHIM CHAMPARAN,242.08955223880596,1410.9030820755913,67,3.8805970149253732,5.355604224349456,13.074626865671641,10.765142165503887,5.828,1.3801,0.8234,True
GUJARAT - DOHAD,184.1014492753623,1028.2735408687759,69,179.7246376811594,496.5324136110461,42.36231884057971,30.302868731647074,5.5854,2.7627,0.7153,True
RAJASTHAN - SALUMBAR,0.03333333333333333,0.18257418583505536,30,0.03333333333333333,0.18257418583505536,3.7333333333333334,2.702914561438593,5.4772,5.4772,0.724,True
GOA - BARDEZ,0.03571428571428571,0.1889822365046136,28,1.0357142857142858,0.9993384054849732,0.6071428571428571,1.0306159867619522,5.2915,0.9649,1.6975,True
ASSAM - DIMA HASAO,4.241379310344827,21.333862667359135,58,0.3275862068965517,0.7582975168210292,3.0689655172413794,2.9609272431353255,5.0299,2.3148,0.9648,True
TAMIL NADU - THIRUVALLUR,8.2,41.072787987224324,70,29.042857142857144,35.91271048427175,18.2,12.939771294710749,5.0089,1.2365,0.711,True
NAGALAND - LONGLENG,12.405797101449275,60.5961362679609,69,29.07246376811594,93.83971297166934,7.971014492753623,8.878213609552638,4.8845,3.2278,1.1138,True
SIKKIM - SOUTH SIKKIM,6.7727272727272725,32.23414121920824,66,22.96969696969697,70.26432943304867,10.818181818181818,12.568469818018167,4.7594,3.059,1.1618,True
MEGHALAYA - EASTERN WEST KHASI HILLS,9.724137931034482,43.219063818111266,58,0.10344827586206896,0.3072032970180001,3.8793103448275863,9.538615122930576,4.4445,2.9696,2.4588,True
MEGHALAYA - NORTH GARO HILLS,42.130434782608695,184.48975047598313,69,14.768115942028986,36.01925340031039,27.507246376811594,27.139954911535327,4.379,2.439,0.9866,True
DELHI - SHAHDARA,23.557142857142857,102.32650721428415,70,94.04285714285714,306.29939108203547,296.1857142857143,1072.5330614526074,4.3438,3.257,3.6212,True
NAGALAND - WOKHA,6.956521739130435,29.661043366782266,69,74.10144927536231,212.43082922153997,8.333333333333334,7.009797065676064,4.2638,2.8668,0.8412,True
WEST BENGAL - EAST MIDNAPUR,0.05555555555555555,0.23570226039551584,18,0.6111111111111112,1.0921586228732252,0.8888888888888888,0.8323523637957304,4.2426,1.7872,0.9364,True
NAGALAND - MOKOKCHUNG,6.171428571428572,26.089017861967708,70,104.74285714285715,259.8163055495162,19.214285714285715,18.49080684795011,4.2274,2.4805,0.9623,True
KARNATAKA - BENGALURU RURAL,82.05882352941177,339.0150565331129,34,0.29411764705882354,0.6755205294731985,1.7941176470588236,2.5199736863068916,4.1314,2.2968,1.4046,True
WEST BENGAL - SOUTH 24 PARGANA,0.058823529411764705,0.24253562503633297,17,0.23529411764705882,0.43723731609760313,1.4705882352941178,1.1788578719900635,4.1231,1.8583,0.8016,True
NAGALAND - ZUNHEBOTO,10.26086956521739,41.69802230248599,69,83.3913043478261,229.31036105675543,20.579710144927535,24.47832522451447,4.0638,2.7498,1.1894,True
WEST BENGAL - ALIPURDUAR,51.042857142857144,207.34109932663924,70,84.78571428571429,228.9233080146732,98.31428571428572,63.33155059057878,4.0621,2.7,0.6442,True
HIMACHAL PRADESH - LAHAUL AND SPITI,0.058823529411764705,0.23883257361061283,34,0.7647058823529411,0.7409585736349485,0.9705882352941176,1.1142409868727208,4.0602,0.9689,1.148,True
GUJARAT - CHHOTAUDEPUR,56.22857142857143,227.905788533782,70,401.34285714285716,1259.5133622676854,66.78571428571429,50.53794466469404,4.0532,3.1382,0.7567,True
NAGALAND - MON,29.614285714285714,120.02225552765691,70,163.28571428571428,391.4317140313013,35.8,31.579483341497873,4.0528,2.3972,0.8821,True
NAGALAND - CHUMUKEDIMA,2.621212121212121,10.578301669004631,66,8.742424242424242,28.60947159249651,16.106060606060606,14.561412429250533,4.0357,3.2725,0.9041,True
JAMMU & KASHMIR - RAJAURI,0.0625,0.24999999999999997,16,0.6875,0.6020797289396148,0.5625,0.7274384280931732,4.0,0.8758,1.2932,True
PUDUCHERRY - PONDICHERRY,0.06060606060606061,0.24230584229877994,33,1.3636363636363635,1.1406736446663277,0.6060606060606061,0.8268688657895648,3.998,0.8365,1.3643,True
NAGALAND - TUENSANG,21.057142857142857,84.1821499400557,70,113.57142857142857,304.9584229883686,32.08571428571429,40.06760332786232,3.9978,2.6852,1.2488,True
NAGALAND - PHEK,13.608695652173912,53.50679379384629,69,95.69565217391305,278.77079475840037,12.231884057971014,11.980554008029047,3.9318,2.9131,0.9795,True
RAJASTHAN - DIDWANA-KUCHAMAN,0.13333333333333333,0.5163977794943222,15,0.3333333333333333,0.6172133998483676,19.4,16.745148551147583,3.873,1.8516,0.8632,True
ARUNACHAL PRADESH - LONGDING,12.507246376811594,48.115554287204,69,31.884057971014492,77.5870547555689,13.753623188405797,17.065966990666347,3.847,2.4334,1.2408,True
TAMIL NADU - TIRUPATHUR,0.06521739130434782,0.24963741822833801,46,1.0869565217391304,1.2261246439543074,1.6956521739130435,1.6037395911832142,3.8278,1.128,0.9458,True
NAGALAND - PEREN,20.647058823529413,78.11716510318128,68,52.5,135.618043531616,14.588235294117647,14.493678801378955,3.7835,2.5832,0.9935,True
NAGALAND - KOHIMA,21.72463768115942,81.53164020578885,69,159.47826086956522,409.51293194748445,26.6231884057971,22.630732260042894,3.753,2.5678,0.85,True
RAJASTHAN - BALOTRA,0.07142857142857142,0.2672612419124244,14,0.0,0.0,16.0,11.694837782937853,3.7417,,0.7309,True
ASSAM - CHIRANG,44.857142857142854,167.21610470549132,70,304.34285714285716,658.3662450561993,115.37142857142857,72.51629930295857,3.7277,2.1632,0.6285,True
MEGHALAYA - WEST KHASI HILLS,216.14492753623188,792.3098449797485,69,72.42028985507247,200.3154428422613,62.98550724637681,64.09425337955841,3.6656,2.766,1.0176,True
MEGHALAYA - SOUTH WEST GARO HILLS,70.33333333333333,257.726865605629,69,56.028985507246375,125.18585841653635,43.55072463768116,44.206911966836685,3.6644,2.2343,1.0151,True
ASSAM - MAJULI,7.176470588235294,25.43645355482723,68,39.55882352941177,98.74819210178673,30.735294117647058,32.259034438390714,3.5444,2.4962,1.0496,True
SIKKIM - WEST SIKKIM,7.161764705882353,25.38221865213922,68,34.14705882352941,123.67992690642477,15.75,17.63762514896839,3.5441,3.622,1.1198,True
MEGHALAYA - EAST JAINTIA HILLS,73.70588235294117,261.03737130651,68,33.89705882352941,68.55439929619513,21.735294117647058,24.25832225071771,3.5416,2.0224,1.1161,True
GUJARAT - MORBI,109.48571428571428,385.7877971510269,70,372.25714285714287,1155.3620134808903,207.92857142857142,710.3783503324959,3.5236,3.1037,3.4165,True
MEGHALAYA - EAST GARO HILLS,83.54285714285714,292.50733600186317,70,31.357142857142858,91.27185634046438,37.614285714285714,45.72802168117166,3.5013,2.9107,1.2157,True
WEST BENGAL - KALIMPONG,7.25,25.348540539105727,68,8.161764705882353,13.871058987559223,19.88235294117647,17.152110885073938,3.4964,1.6995,0.8627,True
