date,bio_total,demo_total,enrol_total,child_count,adult_count,year,month,month_name,day,weekday,day_name,is_weekend,week_num
2025-04-01,8641630,1515672,257438,232525,24913,2025,4,April,1,1,Tuesday,0,14
2025-05-01,7879908,1566287,183616,167032,16584,2025,5,May,1,3,Thursday,0,18
2025-06-01,7899289,1685562,215734,198854,16880,2025,6,June,1,6,Sunday,1,22
2025-07-01,9792552,2220715,616868,581685,35183,2025,7,July,1,1,Tuesday,0,27
2025-09-01,336402,434285,74989,73912,1077,2025,9,September,1,0,Monday,0,36
2025-09-02,317645,435250,76490,75546,944,2025,9,September,2,1,Tuesday,0,36
2025-09-03,313571,314702,71987,71144,843,2025,9,September,3,2,Wednesday,0,36
2025-09-04,300981,383691,65348,64520,828,2025,9,September,4,3,Thursday,0,36
2025-09-05,95771,273929,26069,25638,431,2025,9,September,5,4,Friday,0,36
2025-09-06,254452,368217,58957,58402,555,2025,9,September,6,5,Saturday,1,36
2025-09-07,32956,89024,14658,14502,156,2025,9,September,7,6,Sunday,1,36
2025-09-08,415658,535581,83351,82474,877,2025,9,September,8,0,Monday,0,37
2025-09-09,413111,508585,88503,87650,853,2025,9,September,9,1,Tuesday,0,37
2025-09-10,388115,483117,84299,83476,823,2025,9,September,10,2,Wednesday,0,37
2025-09-11,412565,377623,73204,72412,792,2025,9,September,11,3,Thursday,0,37
2025-09-12,432620,438808,78857,78062,795,2025,9,September,12,4,Friday,0,37
2025-09-13,307058,318607,56228,55854,374,2025,9,September,13,5,Saturday,1,37
2025-09-14,51405,94966,14990,14849,141,2025,9,September,14,6,Sunday,1,37
2025-09-15,453175,405764,53240,52693,547,2025,9,September,15,0,Monday,0,38
2025-09-16,461025,372495,63846,63114,732,2025,9,September,16,1,Tuesday,0,38
2025-09-17,398511,348132,57408,56826,582,2025,9,September,17,2,Wednesday,0,38
2025-09-18,451780,435045,60598,60089,509,2025,9,September,18,3,Thursday,0,38
2025-09-19,427998,362719,57356,56769,587,2025,9,September,19,4,Friday,0,38
2025-09-20,389397,342888,49376,49119,257,2025,9,September,20,5,Saturday,1,38
2025-10-13,3377,204795,74829,72945,1884,2025,10,October,13,0,Monday,0,42
2025-10-15,295751,462540,58895,57291,1604,2025,10,October,15,2,Wednesday,0,42
2025-10-16,274832,493799,36980,35378,1602,2025,10,October,16,3,Thursday,0,42
2025-10-17,333017,323126,115876,114717,1159,2025,10,October,17,4,Friday,0,42
2025-10-18,356678,173214,56021,55268,753,2025,10,October,18,5,Saturday,1,42
2025-10-19,345387,233330,58972,58622,350,2025,10,October,19,6,Sunday,1,42
2025-10-20,37353,112008,15405,15198,207,2025,10,October,20,0,Monday,0,43
2025-10-21,33400,57384,7643,7282,361,2025,10,October,21,1,Tuesday,0,43
2025-10-22,1681,10448,233,177,56,2025,10,October,22,2,Wednesday,0,43
2025-10-23,9751,25155,1145,263,882,2025,10,October,23,3,Thursday,0,43
2025-10-24,269146,427431,36205,35195,1010,2025,10,October,24,4,Friday,0,43
2025-10-25,400220,391763,49996,49678,318,2025,10,October,25,5,Saturday,1,43
2025-10-26,456848,416227,28683,28238,445,2025,10,October,26,6,Sunday,1,43
2025-10-27,369253,181332,26195,24964,1231,2025,10,October,27,0,Monday,0,44
2025-10-28,210471,229406,33808,32846,962,2025,10,October,28,1,Tuesday,0,44
2025-10-29,319050,346453,28930,27894,1036,2025,10,October,29,2,Wednesday,0,44
2025-10-30,420909,292844,116721,115594,1127,2025,10,October,30,3,Thursday,0,44
2025-10-31,445139,629254,71376,70259,1117,2025,10,October,31,4,Friday,0,44
2025-11-01,434459,473747,17849,17232,617,2025,11,November,1,5,Saturday,1,44
2025-11-02,405799,189470,100071,99752,319,2025,11,November,2,6,Sunday,1,44
2025-11-03,432804,481763,31532,30250,1282,2025,11,November,3,0,Monday,0,45
2025-11-04,288457,529256,1007,1001,6,2025,11,November,4,1,Tuesday,0,45
2025-11-05,356432,259667,75593,74843,750,2025,11,November,5,2,Wednesday,0,45
2025-11-06,418911,592307,43585,42070,1515,2025,11,November,6,3,Thursday,0,45
2025-11-07,370838,467099,42330,40904,1426,2025,11,November,7,4,Friday,0,45
2025-11-08,358073,479820,52390,51466,924,2025,11,November,8,5,Saturday,1,45
2025-11-09,231976,147772,48218,48039,179,2025,11,November,9,6,Sunday,1,45
2025-11-10,366974,496515,66984,65691,1293,2025,11,November,10,0,Monday,0,46
2025-11-11,414733,358414,44033,42820,1213,2025,11,November,11,1,Tuesday,0,46
2025-11-12,412672,543788,40496,38158,2338,2025,11,November,12,2,Wednesday,0,46
2025-11-13,367549,341409,33046,29978,3068,2025,11,November,13,3,Thursday,0,46
2025-11-14,265615,468250,46265,45064,1201,2025,11,November,14,4,Friday,0,46
2025-11-15,265574,432951,120087,119168,919,2025,11,November,15,5,Saturday,1,46
2025-11-16,292438,110111,53952,53526,426,2025,11,November,16,6,Sunday,1,46
2025-11-17,315850,366985,30687,29615,1072,2025,11,November,17,0,Monday,0,47
2025-11-18,413095,438487,70427,69048,1379,2025,11,November,18,1,Tuesday,0,47
2025-11-19,295974,437886,115029,110895,4134,2025,11,November,19,2,Wednesday,0,47
2025-11-25,576727,109523,58406,57285,1121,2025,11,November,25,1,Tuesday,0,48
2025-12-15,275701,346023,138883,133691,5192,2025,12,December,15,0,Monday,0,51
2025-12-22,39,263194,109337,109331,6,2025,12,December,22,0,Monday,0,52
2025-12-23,289,488407,47327,47291,36,2025,12,December,23,1,Tuesday,0,52
2025-12-25,547367,253374,48630,47210,1420,2025,12,December,25,3,Thursday,0,52
2025-12-26,450554,433711,52398,51482,916,2025,12,December,26,4,Friday,0,52
2025-12-27,430333,445894,53023,52019,1004,2025,12,December,27,5,Saturday,1,52
2025-12-28,151456,214482,45685,45443,242,2025,12,December,28,6,Sunday,1,52
2025-12-29,300391,276467,60684,59209,1475,2025,12,December,29,0,Monday,0,1
