state,district,region,biometric_total,demographic_total,enrolment_total,child_enrolment,adult_enrolment,total_activity,bio_coverage_pct,child_share_pct
Maharashtra,Thane,MAHARASHTRA - THANE,458811.0,299319.0,40611.0,39698.0,913.0,798741.0,1129.77,97.75
Maharashtra,Pune,MAHARASHTRA - PUNE,471570.0,272698.0,28820.0,27747.0,1073.0,773088.0,1636.26,96.28
Maharashtra,Nashik,MAHARASHTRA - NASHIK,460419.0,168576.0,20056.0,19761.0,295.0,649051.0,2295.67,98.53
West Bengal,South 24 Parganas,WEST BENGAL - SOUTH 24 PARGANAS,184877.0,283790.0,30844.0,30562.0,282.0,499511.0,599.39,99.09
Gujarat,Ahmedabad,GUJARAT - AHMEDABAD,320804.0,159213.0,17271.0,16733.0,538.0,497288.0,1857.47,96.88
Gujarat,Surat,GUJARAT - SURAT,223522.0,247012.0,23800.0,23162.0,638.0,494334.0,939.17,97.32
Delhi,North West Delhi,DELHI - NORTH WEST DELHI,256168.0,218739.0,14632.0,14312.0,320.0,489539.0,1750.74,97.81
Rajasthan,Jaipur,RAJASTHAN - JAIPUR,281622.0,175994.0,28288.0,27585.0,703.0,485904.0,995.55,97.51
West Bengal,Murshidabad,WEST BENGAL - MURSHIDABAD,178817.0,271748.0,33131.0,33049.0,82.0,483696.0,539.73,99.75
Maharashtra,Nanded,MAHARASHTRA - NANDED,275745.0,182790.0,10812.0,10490.0,322.0,469347.0,2550.36,97.02
Karnataka,Bengaluru,KARNATAKA - BENGALURU,236229.0,203056.0,29216.0,25626.0,3590.0,468501.0,808.56,87.71
Maharashtra,Jalgaon,MAHARASHTRA - JALGAON,339991.0,111083.0,11796.0,11605.0,191.0,462870.0,2882.26,98.38
Maharashtra,Ahmadnagar,MAHARASHTRA - AHMADNAGAR,295294.0,156779.0,10261.0,10136.0,125.0,462334.0,2877.83,98.78
Maharashtra,Solapur,MAHARASHTRA - SOLAPUR,262797.0,186444.0,11076.0,10839.0,237.0,460317.0,2372.67,97.86
Andhra Pradesh,Kurnool,ANDHRA PRADESH - KURNOOL,288949.0,116402.0,10840.0,10818.0,22.0,416191.0,2665.58,99.8
Maharashtra,Mumbai,MAHARASHTRA - MUMBAI,321358.0,77608.0,12917.0,12844.0,73.0,411883.0,2487.87,99.43
Maharashtra,Yavatmal,MAHARASHTRA - YAVATMAL,257802.0,140039.0,6748.0,6548.0,200.0,404589.0,3820.42,97.04
Maharashtra,Nagpur,MAHARASHTRA - NAGPUR,281589.0,104207.0,10591.0,10396.0,195.0,396387.0,2658.76,98.16
West Bengal,North 24 Parganas,WEST BENGAL - NORTH 24 PARGANAS,180851.0,168714.0,26216.0,24916.0,1300.0,375781.0,689.85,95.04
Maharashtra,Aurangabad,MAHARASHTRA - AURANGABAD,251194.0,107461.0,15310.0,15211.0,99.0,373965.0,1640.72,99.35
Uttar Pradesh,Bareilly,UTTAR PRADESH - BAREILLY,185427.0,152416.0,26133.0,25552.0,581.0,363976.0,709.55,97.78
Telangana,Hyderabad,TELANGANA - HYDERABAD,177418.0,152892.0,24448.0,23822.0,626.0,354758.0,725.7,97.44
Andhra Pradesh,Guntur,ANDHRA PRADESH - GUNTUR,238250.0,104887.0,8745.0,8712.0,33.0,351882.0,2724.41,99.62
Andhra Pradesh,Visakhapatnam,ANDHRA PRADESH - VISAKHAPATNAM,250788.0,91872.0,7264.0,7235.0,29.0,349924.0,3452.48,99.6
Delhi,South Delhi,DELHI - SOUTH DELHI,181505.0,151883.0,12279.0,11854.0,425.0,345667.0,1478.17,96.54
Uttar Pradesh,Bijnor,UTTAR PRADESH - BIJNOR,174250.0,153045.0,15247.0,15180.0,67.0,342542.0,1142.85,99.56
Maharashtra,Amravati,MAHARASHTRA - AMRAVATI,271100.0,65053.0,6160.0,6060.0,100.0,342313.0,4400.97,98.38
Andhra Pradesh,East Godavari,ANDHRA PRADESH - EAST GODAVARI,249571.0,84972.0,6938.0,6928.0,10.0,341481.0,3597.16,99.86
Telangana,K.v. Rangareddy,TELANGANA - K.V. RANGAREDDY,198946.0,125021.0,15875.0,15725.0,150.0,339842.0,1253.2,99.06
Maharashtra,Beed,MAHARASHTRA - BEED,207431.0,121645.0,9419.0,9163.0,256.0,338495.0,2202.26,97.28
Madhya Pradesh,Indore,MADHYA PRADESH - INDORE,172401.0,138056.0,20331.0,19765.0,566.0,330788.0,847.97,97.22
Bihar,Patna,BIHAR - PATNA,160343.0,146913.0,22257.0,21553.0,704.0,329513.0,720.42,96.84
Uttar Pradesh,Allahabad,UTTAR PRADESH - ALLAHABAD,216614.0,99850.0,11954.0,11908.0,46.0,328418.0,1812.06,99.62
Uttar Pradesh,Ghaziabad,UTTAR PRADESH - GHAZIABAD,157231.0,150139.0,20731.0,20449.0,282.0,328101.0,758.43,98.64
Bihar,East Champaran,BIHAR - EAST CHAMPARAN,155240.0,142414.0,26990.0,26240.0,750.0,324644.0,575.18,97.22
West Bengal,Uttar Dinajpur,WEST BENGAL - UTTAR DINAJPUR,76528.0,223364.0,24743.0,24387.0,356.0,324635.0,309.29,98.56
Uttar Pradesh,Agra,UTTAR PRADESH - AGRA,191955.0,102551.0,27035.0,26296.0,739.0,321541.0,710.02,97.27
Uttar Pradesh,Lucknow,UTTAR PRADESH - LUCKNOW,172404.0,122338.0,23112.0,22692.0,420.0,317854.0,745.95,98.18
Delhi,West Delhi,DELHI - WEST DELHI,137307.0,161779.0,18263.0,17360.0,903.0,317349.0,751.83,95.06
Uttar Pradesh,Sitapur,UTTAR PRADESH - SITAPUR,205996.0,82088.0,29208.0,28498.0,710.0,317292.0,705.27,97.57
Maharashtra,Kolhapur,MAHARASHTRA - KOLHAPUR,221156.0,87334.0,6581.0,6509.0,72.0,315071.0,3360.52,98.91
Andhra Pradesh,Chittoor,ANDHRA PRADESH - CHITTOOR,206661.0,100823.0,7363.0,7325.0,38.0,314847.0,2806.75,99.48
Bihar,Madhubani,BIHAR - MADHUBANI,176736.0,100278.0,23501.0,22810.0,691.0,300515.0,752.04,97.06
Bihar,Muzaffarpur,BIHAR - MUZAFFARPUR,156842.0,116112.0,26816.0,26208.0,608.0,299770.0,584.88,97.73
Maharashtra,Latur,MAHARASHTRA - LATUR,202043.0,89014.0,6852.0,6708.0,144.0,297909.0,2948.67,97.9
Bihar,West Champaran,BIHAR - WEST CHAMPARAN,122775.0,145119.0,28239.0,27506.0,733.0,296133.0,434.77,97.4
West Bengal,Paschim Medinipur,WEST BENGAL - PASCHIM MEDINIPUR,122891.0,154902.0,16298.0,16155.0,143.0,294091.0,754.03,99.12
Uttar Pradesh,Aligarh,UTTAR PRADESH - ALIGARH,159429.0,108658.0,24207.0,23688.0,519.0,292294.0,658.61,97.86
Bihar,Katihar,BIHAR - KATIHAR,163803.0,113665.0,14492.0,14386.0,106.0,291960.0,1130.3,99.27
