state,date,biometric,demographic,enrolment,total
Andaman & Nicobar Islands,2025-04-01,184.0,0.0,0.0,184.0
Andaman & Nicobar Islands,2025-05-01,180.0,0.0,0.0,180.0
Andaman & Nicobar Islands,2025-06-01,140.0,0.0,0.0,140.0
Andaman & Nicobar Islands,2025-07-01,259.0,0.0,0.0,259.0
Andaman & Nicobar Islands,2025-09-01,23.0,18.0,5.0,46.0
Andaman & Nicobar Islands,2025-09-02,29.0,25.0,1.0,55.0
Andaman & Nicobar Islands,2025-09-03,36.0,29.0,1.0,66.0
Andaman & Nicobar Islands,2025-09-04,20.0,13.0,5.0,38.0
Andaman & Nicobar Islands,2025-09-05,21.0,17.0,2.0,40.0
Andaman & Nicobar Islands,2025-09-06,1.0,9.0,0.0,10.0
Andaman & Nicobar Islands,2025-09-08,29.0,24.0,1.0,54.0
Andaman & Nicobar Islands,2025-09-09,33.0,8.0,2.0,43.0
Andaman & Nicobar Islands,2025-09-10,37.0,2.0,0.0,39.0
Andaman & Nicobar Islands,2025-09-11,25.0,19.0,3.0,47.0
Andaman & Nicobar Islands,2025-09-12,34.0,15.0,2.0,51.0
Andaman & Nicobar Islands,2025-09-13,4.0,6.0,0.0,10.0
Andaman & Nicobar Islands,2025-09-14,0.0,2.0,0.0,2.0
Andaman & Nicobar Islands,2025-09-15,30.0,14.0,1.0,45.0
Andaman & Nicobar Islands,2025-09-16,12.0,3.0,1.0,16.0
Andaman & Nicobar Islands,2025-09-17,17.0,2.0,3.0,22.0
Andaman & Nicobar Islands,2025-09-18,37.0,18.0,5.0,60.0
Andaman & Nicobar Islands,2025-09-19,28.0,7.0,0.0,35.0
Andaman & Nicobar Islands,2025-09-20,12.0,3.0,0.0,15.0
Andaman & Nicobar Islands,2025-10-13,0.0,9.0,2.0,11.0
Andaman & Nicobar Islands,2025-10-15,24.0,4.0,2.0,30.0
Andaman & Nicobar Islands,2025-10-16,24.0,15.0,0.0,39.0
Andaman & Nicobar Islands,2025-10-17,18.0,8.0,2.0,28.0
Andaman & Nicobar Islands,2025-10-18,14.0,3.0,3.0,20.0
Andaman & Nicobar Islands,2025-10-19,6.0,5.0,1.0,12.0
Andaman & Nicobar Islands,2025-10-20,0.0,0.0,1.0,1.0
Andaman & Nicobar Islands,2025-10-21,2.0,6.0,0.0,8.0
Andaman & Nicobar Islands,2025-10-22,0.0,1.0,0.0,1.0
Andaman & Nicobar Islands,2025-10-23,2.0,2.0,0.0,4.0
Andaman & Nicobar Islands,2025-10-24,14.0,14.0,1.0,29.0
Andaman & Nicobar Islands,2025-10-25,32.0,1.0,1.0,34.0
Andaman & Nicobar Islands,2025-10-26,36.0,6.0,2.0,44.0
Andaman & Nicobar Islands,2025-10-27,15.0,8.0,2.0,25.0
Andaman & Nicobar Islands,2025-10-28,14.0,6.0,1.0,21.0
Andaman & Nicobar Islands,2025-10-29,24.0,11.0,3.0,38.0
Andaman & Nicobar Islands,2025-10-30,7.0,4.0,1.0,12.0
Andaman & Nicobar Islands,2025-10-31,20.0,11.0,0.0,31.0
Andaman & Nicobar Islands,2025-11-01,16.0,10.0,1.0,27.0
Andaman & Nicobar Islands,2025-11-02,18.0,3.0,0.0,21.0
Andaman & Nicobar Islands,2025-11-03,30.0,22.0,2.0,54.0
Andaman & Nicobar Islands,2025-11-04,1.0,23.0,0.0,24.0
Andaman & Nicobar Islands,2025-11-05,21.0,7.0,0.0,28.0
Andaman & Nicobar Islands,2025-11-06,15.0,10.0,0.0,25.0
Andaman & Nicobar Islands,2025-11-07,5.0,21.0,0.0,26.0
Andaman & Nicobar Islands,2025-11-08,21.0,5.0,0.0,26.0
Andaman & Nicobar Islands,2025-11-09,8.0,1.0,2.0,11.0
Andaman & Nicobar Islands,2025-11-10,15.0,26.0,0.0,41.0
Andaman & Nicobar Islands,2025-11-11,14.0,15.0,3.0,32.0
Andaman & Nicobar Islands,2025-11-12,17.0,22.0,0.0,39.0
Andaman & Nicobar Islands,2025-11-13,25.0,27.0,0.0,52.0
Andaman & Nicobar Islands,2025-11-14,12.0,20.0,1.0,33.0
Andaman & Nicobar Islands,2025-11-15,10.0,4.0,4.0,18.0
Andaman & Nicobar Islands,2025-11-16,14.0,3.0,1.0,18.0
Andaman & Nicobar Islands,2025-11-17,15.0,6.0,0.0,21.0
Andaman & Nicobar Islands,2025-11-18,18.0,17.0,2.0,37.0
Andaman & Nicobar Islands,2025-11-19,5.0,19.0,5.0,29.0
Andaman & Nicobar Islands,2025-11-25,23.0,0.0,0.0,23.0
Andaman & Nicobar Islands,2025-12-15,29.0,26.0,4.0,59.0
Andaman & Nicobar Islands,2025-12-22,0.0,20.0,5.0,25.0
Andaman & Nicobar Islands,2025-12-23,0.0,23.0,0.0,23.0
Andaman & Nicobar Islands,2025-12-25,50.0,0.0,1.0,51.0
Andaman & Nicobar Islands,2025-12-26,28.0,8.0,3.0,39.0
Andaman & Nicobar Islands,2025-12-27,17.0,5.0,4.0,26.0
Andaman & Nicobar Islands,2025-12-28,1.0,2.0,5.0,8.0
Andaman & Nicobar Islands,2025-12-29,38.0,14.0,3.0,55.0
Andaman and Nicobar Islands,2025-04-01,2511.0,0.0,0.0,2511.0
Andaman and Nicobar Islands,2025-05-01,1667.0,0.0,0.0,1667.0
Andaman and Nicobar Islands,2025-06-01,1804.0,0.0,0.0,1804.0
Andaman and Nicobar Islands,2025-07-01,2569.0,438.0,0.0,3007.0
Andaman and Nicobar Islands,2025-09-01,151.0,86.0,22.0,259.0
Andaman and Nicobar Islands,2025-09-02,152.0,61.0,9.0,222.0
Andaman and Nicobar Islands,2025-09-03,138.0,76.0,11.0,225.0
Andaman and Nicobar Islands,2025-09-04,114.0,44.0,12.0,170.0
Andaman and Nicobar Islands,2025-09-05,89.0,39.0,3.0,131.0
Andaman and Nicobar Islands,2025-09-06,7.0,13.0,0.0,20.0
Andaman and Nicobar Islands,2025-09-07,0.0,4.0,0.0,4.0
Andaman and Nicobar Islands,2025-09-08,153.0,65.0,12.0,230.0
Andaman and Nicobar Islands,2025-09-09,194.0,75.0,11.0,280.0
Andaman and Nicobar Islands,2025-09-10,212.0,17.0,12.0,241.0
Andaman and Nicobar Islands,2025-09-11,138.0,48.0,3.0,189.0
Andaman and Nicobar Islands,2025-09-12,141.0,41.0,3.0,185.0
Andaman and Nicobar Islands,2025-09-13,19.0,12.0,1.0,32.0
Andaman and Nicobar Islands,2025-09-14,0.0,2.0,0.0,2.0
Andaman and Nicobar Islands,2025-09-15,117.0,56.0,5.0,178.0
Andaman and Nicobar Islands,2025-09-16,121.0,36.0,3.0,160.0
Andaman and Nicobar Islands,2025-09-17,133.0,17.0,2.0,152.0
Andaman and Nicobar Islands,2025-09-18,158.0,35.0,4.0,197.0
Andaman and Nicobar Islands,2025-09-19,119.0,50.0,7.0,176.0
Andaman and Nicobar Islands,2025-09-20,64.0,11.0,1.0,76.0
Andaman and Nicobar Islands,2025-10-13,0.0,33.0,8.0,41.0
Andaman and Nicobar Islands,2025-10-15,95.0,92.0,5.0,192.0
Andaman and Nicobar Islands,2025-10-16,96.0,31.0,4.0,131.0
Andaman and Nicobar Islands,2025-10-17,95.0,24.0,9.0,128.0
Andaman and Nicobar Islands,2025-10-18,144.0,17.0,5.0,166.0
Andaman and Nicobar Islands,2025-10-19,51.0,49.0,3.0,103.0
Andaman and Nicobar Islands,2025-10-20,0.0,5.0,0.0,5.0
Andaman and Nicobar Islands,2025-10-21,9.0,21.0,0.0,30.0
